Region,Carbon Emissions
South East,1087397.480356887
North West,1043759.19543764
Yorkshire and the Humber,901877.871663831
East of England,869923.515381054
London,802075.232596963
West Midlands,778526.113320791
South West,750655.89129331
East Midlands,739647.392729234
North East,478664.795196164
Northern Ireland,404135.664052668
